StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SubID,NA_1,NA_2,NA_3,NA_4,NA_5,NA_6,NA_7,NA_8,NA_9,NA_10,PA_1,PA_2,PA_3,PA_4,PA_5,PA_6,PA_7,PA_8,PA_9,PA_10,Anx_1,Anx_2,Anx_3,Dep_1,Dep_2,Dep_3,DMIL_1,DMIL_2,Discrim_1,Discrim_2,Discrim_3,Discrim_4,Discrim_5,Discrim_6,Discrim_7,DailyNews
10/27/20 9:40,10/27/20 9:40,1,,100,25,1,10/27/20 9:40,R_1mz7aWykiQe3oXV,,,,,31.83779907,-106.538002,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/20 17:51,10/28/20 17:53,0,104.2.137.18,100,131,1,10/28/20 17:53,R_RLEIwrauZaxcDcZ,,,,,31.80450439,-105.9661026,anonymous,EN,1053,3,2,1,1,1,1,1,1,1,1,3,4,3,4,2,2,3,3,1,3,1,3,1,1,1,1,4,4,0,0,0,4,0,4,8,3
10/28/20 17:52,10/28/20 17:54,0,72.191.180.253,100,136,1,10/28/20 17:54,R_pRHKPKltV5yFjhf,,,,,31.77029419,-106.3005981,anonymous,EN,1055,1,1,2,1,3,1,1,1,5,2,1,1,3,1,1,2,2,1,2,1,1,4,3,3,4,3,3,3,0,0,0,0,0,0,1,1
10/28/20 17:59,10/28/20 18:01,0,148.240.208.139,100,116,1,10/28/20 18:01,R_2CCB02pNEoW8GBc,,,,,31.44960022,-106.5642014,anonymous,EN,1035,4,4,4,1,4,1,5,1,4,4,2,3,3,2,3,2,1,2,3,3,4,5,4,3,4,4,4,3,0,0,0,0,0,0,4,1
10/28/20 18:00,10/28/20 18:03,0,189.154.120.71,100,213,1,10/28/20 18:03,R_XnU8GmtSSowOixX,,,,,28.77810669,-106.0999985,anonymous,EN,1054,1,1,2,1,1,1,1,1,1,1,3,2,4,4,3,2,3,4,3,3,2,3,1,1,1,1,7,7,0,0,3,3,0,0,2,1
10/28/20 18:01,10/28/20 18:04,0,69.23.147.238,100,154,1,10/28/20 18:04,R_DAdUcMf8WE6KF1v,,,,,31.83779907,-106.538002,anonymous,EN,1002,2,2,3,3,2,2,2,2,4,2,3,4,4,5,3,3,4,4,5,3,3,4,3,1,2,1,7,7,10,10,0,0,1,1,10,1
10/28/20 18:01,10/28/20 18:04,0,24.170.97.181,100,169,1,10/28/20 18:04,R_11ipV5fZkGQ686W,,,,,31.83779907,-106.538002,anonymous,EN,1019,1,1,2,2,1,1,2,1,1,2,2,3,3,3,3,3,3,4,,3,3,3,1,2,1,4,3,6,0,0,0,1,0,0,0,1
10/28/20 18:02,10/28/20 18:05,0,172.58.72.27,100,173,1,10/28/20 18:05,R_6nGamnqoHdBgH3r,,,,,31.77029419,-106.3005981,anonymous,EN,1095,1,1,1,2,1,3,2,1,1,3,2,1,2,2,2,3,2,2,2,3,1,4,1,1,1,1,4,5,0,0,0,0,0,0,0,1
10/28/20 18:03,10/28/20 18:05,0,70.120.160.14,100,161,1,10/28/20 18:05,R_UGVcwxckdqkiMoN,,,,,31.85650635,-106.5920029,anonymous,EN,1058,1,1,1,2,2,2,2,2,3,1,2,1,1,4,4,4,4,5,1,2,1,1,5,2,2,1,4,1,0,0,0,1,0,0,3,1
10/28/20 18:02,10/28/20 18:06,0,72.191.174.89,100,259,1,10/28/20 18:06,R_3kmJjbwNn2GrzY8,,,,,31.853302,-106.4381027,anonymous,EN,1027,1,1,4,1,2,1,2,2,1,4,2,3,3,4,4,4,3,4,3,4,3,4,3,1,1,1,7,7,0,1,0,0,0,1,2,1
10/28/20 18:03,10/28/20 18:07,0,177.237.20.103,100,211,1,10/28/20 18:07,R_rpOACffy0mNI0Hn,,,,,31.72529602,-106.4321976,anonymous,EN,1104,1,1,1,3,2,1,1,1,1,3,1,1,5,3,4,4,3,4,5,4,2,1,1,1,1,1,7,7,0,0,0,0,0,0,0,1
10/28/20 18:02,10/28/20 18:07,0,67.10.219.146,100,275,1,10/28/20 18:07,R_31MDVpOWutqBUJ8,,,,,31.853302,-106.4381027,anonymous,EN,1062,2,3,3,2,4,1,1,1,3,4,2,3,2,2,2,3,3,2,3,2,5,4,5,3,2,3,7,7,0,0,2,0,2,0,2,0
10/28/20 18:04,10/28/20 18:08,0,107.242.125.26,100,197,1,10/28/20 18:08,R_2eQBlJIazfYyIDX,,,,,32.69569397,-97.09069824,anonymous,EN,1052,1,1,2,3,1,1,1,1,1,2,5,2,4,4,2,3,2,4,4,5,1,2,4,1,1,1,7,7,4,4,3,3,3,10,10,1
10/28/20 18:05,10/28/20 18:08,0,72.181.70.19,100,162,1,10/28/20 18:08,R_116MF53jnJpBmfZ,,,,,31.66290283,-106.1371002,anonymous,EN,1043,1,1,1,1,1,1,1,1,2,4,4,3,4,3,3,3,3,2,2,3,1,3,1,1,1,1,6,6,0,2,0,3,0,1,1,1
10/28/20 18:06,10/28/20 18:08,0,173.175.157.102,100,124,1,10/28/20 18:08,R_2BgrU2vDPOTZyS2,,,,,31.78990173,-106.365799,anonymous,EN,1004,3,4,4,4,4,1,1,1,3,2,1,2,1,1,1,1,1,2,1,1,4,3,2,3,3,,3,3,0,0,0,0,0,2,1,0
10/28/20 18:05,10/28/20 18:08,0,72.176.147.102,100,175,1,10/28/20 18:08,R_28BRLTJQdIiSPZX,,,,,31.70779419,-106.3237991,anonymous,EN,1089,2,1,3,2,1,1,1,1,1,1,1,3,1,2,4,3,2,4,3,2,3,3,3,2,1,1,6,6,0,0,0,1,0,1,6,1
10/28/20 18:05,10/28/20 18:08,0,173.175.165.230,100,189,1,10/28/20 18:08,R_C4uOiH3BLnxk1DH,,,,,31.77749634,-106.490303,anonymous,EN,1037,1,1,2,1,3,1,1,1,2,3,1,1,1,1,2,1,1,1,1,3,2,3,2,1,2,2,4,3,0,0,0,10,0,6,10,3
10/28/20 18:07,10/28/20 18:10,0,45.26.138.228,100,169,1,10/28/20 18:10,R_2SjdeCM1XS13VmQ,,,,,31.80450439,-105.9661026,anonymous,EN,1057,1,1,3,1,1,1,1,1,2,1,4,3,4,4,4,4,4,4,2,3,2,2,3,1,2,1,7,6,0,0,0,0,0,0,1,1
10/28/20 18:01,10/28/20 18:10,0,104.180.178.181,100,522,1,10/28/20 18:10,R_bHFhJJCOhKjUqFH,,,,,31.90330505,-106.4169998,anonymous,EN,1008,1,1,5,4,5,1,1,1,3,5,3,4,4,4,1,1,1,2,1,1,5,5,5,4,4,1,2,2,0,0,0,0,0,2,6,2
10/28/20 18:05,10/28/20 18:10,0,69.50.152.122,100,323,1,10/28/20 18:10,R_3jfC1GwE1q8hHIJ,,,,,32.39370728,-97.3286972,anonymous,EN,1088,3,2,2,1,1,1,1,1,1,2,1,3,2,1,1,1,2,2,1,1,3,3,2,1,1,1,4,4,0,0,0,2,0,2,3,2
10/28/20 18:07,10/28/20 18:12,0,216.67.32.42,100,247,1,10/28/20 18:12,R_abZclOluTH6pGEx,,,,,58.36279297,-134.5294037,anonymous,EN,1090,2,2,4,2,2,1,1,1,3,2,1,4,3,5,2,1,4,4,1,3,4,4,1,1,1,2,3,4,0,1,0,0,0,0,10,2
10/28/20 18:09,10/28/20 18:12,0,24.28.188.232,100,139,1,10/28/20 18:12,R_1guOw78sfAhDKte,,,,,31.83779907,-106.538002,anonymous,EN,1013,4,4,5,5,3,1,2,1,4,4,3,3,3,3,2,2,3,2,2,3,4,4,4,3,2,4,4,4,0,0,0,0,0,0,10,5
10/28/20 18:08,10/28/20 18:12,0,172.58.72.150,100,245,1,10/28/20 18:12,R_1gUU47nBIHV1ONi,,,,,31.77029419,-106.3005981,anonymous,EN,1001,1,1,1,1,1,1,1,1,1,3,5,4,5,5,4,3,3,4,3,5,1,1,1,2,2,5,5,5,0,0,0,0,0,0,0,1
10/28/20 18:08,10/28/20 18:12,0,24.170.97.181,100,255,1,10/28/20 18:12,R_2bN7qu5ice1NTda,,,,,31.83779907,-106.538002,anonymous,EN,1060,2,3,2,1,4,2,3,2,4,4,1,2,2,1,1,1,1,2,1,2,3,4,1,2,4,3,4,5,0,0,0,0,0,0,1,1
10/28/20 18:08,10/28/20 18:13,0,72.191.179.252,100,318,1,10/28/20 18:13,R_3niJgeYeb8UyhfO,,,,,31.80450439,-105.9661026,anonymous,EN,1069,1,1,2,2,2,1,1,1,1,2,2,3,3,3,1,1,2,2,2,2,4,2,3,1,1,3,2,2,0,0,0,0,0,0,0,0
10/28/20 18:14,10/28/20 18:16,0,172.58.73.9,100,156,1,10/28/20 18:16,R_2AEw600n1GjshY6,,,,,31.77029419,-106.3005981,anonymous,EN,1046,1,1,1,2,1,1,1,1,1,1,1,3,4,3,3,3,1,3,1,2,1,1,1,1,1,1,6,6,0,0,0,3,0,0,3,1
10/28/20 18:14,10/28/20 18:18,0,162.206.10.181,100,227,1,10/28/20 18:18,R_3qdqlbNSY8lrXno,,,,,31.80450439,-105.9661026,anonymous,EN,1034,1,1,4,2,1,1,1,1,1,2,1,3,4,4,2,2,1,3,3,4,3,3,3,1,1,1,6,5,0,0,0,2,0,2,9,2
10/28/20 18:11,10/28/20 18:19,0,72.183.208.235,100,482,1,10/28/20 18:19,R_3D0YJT3B4slkoDF,,,,,31.77029419,-106.3005981,anonymous,EN,1066,1,1,1,1,1,2,2,1,1,3,2,3,1,3,1,2,3,3,1,1,3,1,2,1,1,2,7,7,0,0,0,0,0,0,7,1
10/28/20 18:14,10/28/20 18:19,0,70.117.167.223,100,346,1,10/28/20 18:19,R_3nji1QvbjiAjuW3,,,,,31.77029419,-106.3005981,anonymous,EN,1017,1,1,2,3,1,3,1,1,1,3,3,4,4,4,2,2,4,4,3,3,2,1,3,1,1,1,7,7,0,0,0,0,0,0,0,1
10/28/20 18:16,10/28/20 18:20,0,129.108.202.171,100,230,1,10/28/20 18:20,R_2TnIbxVuWTiBIgE,,,,,31.77749634,-106.490303,anonymous,EN,1080,1,1,2,1,1,1,2,1,2,1,4,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2,2,6,0,0,0,5,0,0,5,1
10/28/20 18:15,10/28/20 18:22,0,72.178.51.161,100,421,1,10/28/20 18:22,R_1jdhNg7NqbQABWh,,,,,31.77029419,-106.3005981,anonymous,EN,1077,1,1,4,5,3,2,1,1,1,3,1,1,1,3,3,2,1,3,1,2,4,1,3,1,3,2,4,5,0,0,0,0,0,0,10,1
10/28/20 18:06,10/28/20 18:22,0,70.112.54.163,100,931,1,10/28/20 18:22,R_2wT4fwFSj37IEYz,,,,,31.853302,-106.4381027,anonymous,EN,1010,2,1,3,1,3,1,1,1,1,1,3,3,3,2,3,3,4,3,3,3,3,3,3,1,3,3,7,7,5,2,7,3,7,7,8,1
10/28/20 18:20,10/28/20 18:22,0,24.242.117.200,100,134,1,10/28/20 18:22,R_1exjxI4HYVoZB1i,,,,,31.83779907,-106.538002,anonymous,EN,1030,1,1,3,2,2,1,1,1,1,1,3,4,4,3,3,3,1,2,2,3,1,2,1,1,1,1,7,6,0,0,0,0,0,0,0,1
10/28/20 18:20,10/28/20 18:23,0,172.58.100.177,100,171,1,10/28/20 18:23,R_3JIuwmbYtLGeWpc,,,,,29.79249573,-95.36730194,anonymous,EN,1102,1,1,4,1,1,1,1,1,1,4,1,2,2,3,3,3,1,3,1,2,4,4,4,3,2,2,2,1,0,0,0,1,0,0,3,1
10/28/20 18:18,10/28/20 18:23,0,98.156.244.21,100,268,1,10/28/20 18:23,R_1lshkQWVP1i9t9W,,,,,31.66290283,-106.1371002,anonymous,EN,1015,2,2,1,5,3,1,1,1,4,1,3,4,4,4,2,3,4,4,3,2,3,5,3,3,4,2,5,5,0,0,0,7,0,0,8,1
10/28/20 18:21,10/28/20 18:24,0,96.255.124.139,100,224,1,10/28/20 18:24,R_3E9VjDq46NeGdsh,,,,,39.00050354,-76.97119904,anonymous,EN,1083,3,3,4,2,2,1,1,2,3,2,5,4,4,5,3,3,3,4,3,4,4,4,1,1,1,1,7,7,0,0,0,0,0,0,8,2
10/28/20 18:19,10/28/20 18:25,0,172.58.73.61,100,356,1,10/28/20 18:25,R_2TMjowxbhjFk05k,,,,,31.77029419,-106.3005981,anonymous,EN,1056,1,2,1,1,1,2,1,1,1,2,1,1,3,3,2,1,2,2,3,3,2,2,2,1,3,2,3,5,3,3,2,0,2,0,1,1
10/28/20 18:26,10/28/20 18:31,0,108.239.196.250,100,294,1,10/28/20 18:31,R_2OQ2GilBDHNBdKE,,,,,31.80450439,-105.9661026,anonymous,EN,1044,2,2,3,3,3,1,1,1,1,3,1,3,2,3,2,2,3,3,2,2,2,3,3,1,2,2,5,5,0,0,0,0,0,0,1,1
10/28/20 18:28,10/28/20 18:33,0,68.207.118.43,100,260,1,10/28/20 18:33,R_e2qlIFzbnRzWYet,,,,,31.66290283,-106.1371002,anonymous,EN,1018,4,4,4,4,4,2,3,3,5,5,3,3,2,3,2,2,2,3,1,2,5,4,4,3,5,4,4,3,0,0,0,0,0,0,3,0
10/28/20 18:31,10/28/20 18:34,0,68.73.64.70,100,210,1,10/28/20 18:34,R_3paN2bSoxvDD4RR,,,,,31.80450439,-105.9661026,anonymous,EN,1012,4,4,4,4,2,1,3,3,4,3,3,4,3,2,1,2,2,4,2,3,4,4,3,4,4,4,2,2,0,0,0,2,1,2,1,1
10/28/20 18:33,10/28/20 18:36,0,24.242.104.206,100,156,1,10/28/20 18:36,R_1hEAN0Bw7gQDVkT,,,,,31.83779907,-106.538002,anonymous,EN,1076,1,1,3,2,1,1,1,1,1,1,3,1,3,2,2,1,2,3,2,3,1,1,1,1,1,2,6,4,0,0,0,0,0,0,3,1
10/28/20 18:34,10/28/20 18:37,0,68.201.55.19,100,201,1,10/28/20 18:37,R_dcfTN9DPOKasWiJ,,,,,31.77749634,-106.490303,anonymous,EN,1074,1,1,2,1,1,1,1,1,1,2,3,2,4,4,3,3,1,3,4,4,4,3,1,1,1,1,6,7,0,2,0,3,0,0,10,1
10/28/20 18:34,10/28/20 18:37,0,172.58.107.202,100,163,1,10/28/20 18:37,R_3psxhxufBJDsGkM,,,,,32.73190308,-96.90570068,anonymous,EN,1063,1,,1,1,1,1,1,1,1,2,4,1,2,1,1,1,2,1,1,1,1,3,3,2,2,2,3,1,0,0,5,0,5,0,4,1
